ICD-10 Code,Description,Matters from an Anaesthesia perspective,"Suggested value on ""surgical"" CC lists",Comment
T10X0,"Fracture of upper limb, level unspecified: closed",No,,
T10X1,"Fracture of upper limb, level unspecified: open",No,,
T110,"Superficial injury of upper limb, level unspecified",No,,
T111,"Open wound of upper limb, level unspecified",No,,
T112,"Dislocation, sprain and strain of unspecified joint and ligament of upper limb, level unspecified",No,,
T113,"Injury of unspecified nerve of upper limb, level unspecified",No,,
T114,"Injury of unspecified blood vessel of upper limb, level unspecified",No,,
T115,"Injury of unspecified muscle and tendon of upper limb, level unspecified",No,,
T116,"Traumatic amputation of upper limb, level unspecified",No,,
T118,"Other specified injuries of upper limb, level unspecified",No,,
T119,"Unspecified injury of upper limb, level unspecified",No,,
T12X,"Fracture of lower limb, level unspecified",No,,
T12X0,"Fracture of lower limb, level unspecified: closed",No,,
T12X1,"Fracture of lower limb, level unspecified: open",No,,
T130,"Superficial injury of lower limb, level unspecified",No,,
T131,"Open wound of lower limb, level unspecified",No,,
T132,"Dislocation, sprain and strain of unspecified joint and ligament of lower limb, level unspecified",No,,
T133,"Injury of unspecified nerve of lower limb, level unspecified",No,,
T134,"Injury of unspecified blood vessel of lower limb, level unspecified",No,,
T135,"Injury of unspecified muscle and tendon of lower limb, level unspecified",No,,
T136,"Traumatic amputation of lower limb, level unspecified",No,,
T138,"Other specified injuries of lower limb, level unspecified",No,,
T139,"Unspecified injury of lower limb, level unspecified",No,,
T140,Superficial injury of unspecified body region,No,,
T141,Open wound of unspecified body region,No,,
T142,Fracture of unspecified body region,No,,
T1420,Fracture of unspecified body region: closed,No,,
T1421,Fracture of unspecified body region: open,No,,
T143,"Dislocation, sprain and strain of unspecified body region",No,,
T144,Injury of nerve(s) of unspecified body region,No,,
T145,Injury of blood vessel(s) of unspecified body region,No,,
T146,Injury of muscles and tendons of unspecified body region,No,,
T147,Crushing injury and traumatic amputation of unspecified body region,No,,
T148,Other injuries of unspecified body region,No,,
T149,"Injury, unspecified",No,,
T150,Foreign body in cornea,No,,
T151,Foreign body in conjunctival sac,No,,
T158,Foreign body in other and multiple parts of external eye,No,,
T159,"Foreign body on external eye, part unspecified",No,,
T16X,Foreign body in ear,No,,
T170,Foreign body in nasal sinus,No,,
T171,Foreign body in nostril,No,,
T172,Foreign body in pharynx,No,,
T173,Foreign body in larynx,Yes,1,
T174,Foreign body in trachea,Yes,1,
T175,Foreign body in bronchus,Yes,1,
T178,Foreign body in other and multiple parts of respiratory tract,Yes,1,
T179,"Foreign body in respiratory tract, part unspecified",Yes,1,
T180,Foreign body in mouth,Yes,1,
T181,Foreign body in oesophagus,No,,
T182,Foreign body in stomach,No,,
T183,Foreign body in small intestine,No,,
T184,Foreign body in colon,No,,
T185,Foreign body in anus and rectum,No,,
T188,Foreign body in other and multiple parts of alimentary tract,No,,
T189,"Foreign body in alimentary tract, part unspecified",No,,
T190,Foreign body in urethra,No,,
T191,Foreign body in bladder,No,,
T192,Foreign body in vulva and vagina,No,,
T193,Foreign body in uterus [any part],No,,
T198,Foreign body in other and multiple parts of genitourinary tract,No,,
T199,"Foreign body in genitourinary tract, part unspecified",No,,
T200,Burn of unspecified degree of head and neck,Yes,1,
T201,Burn of first degree of head and neck,Yes,1,
T202,Burn of second degree of head and neck,Yes,2,
T203,Burn of third degree of head and neck,Yes,2,
T204,Corrosion of unspecified degree of head and neck,Yes,1,
T205,Corrosion of first degree of head and neck,Yes,1,
T206,Corrosion of second degree of head and neck,Yes,2,
T207,Corrosion of third degree of head and neck,Yes,2,
T210,Burn of unspecified degree of trunk,Yes,1,
T211,Burn of first degree of trunk,Yes,1,
T212,Burn of second degree of trunk,Yes,1,
T213,Burn of third degree of trunk,Yes,1,
T214,Corrosion of unspecified degree of trunk,Yes,1,
T215,Corrosion of first degree of trunk,Yes,1,
T216,Corrosion of second degree of trunk,Yes,1,
T217,Corrosion of third degree of trunk,Yes,1,
T220,"Burn of unspecified degree of shoulder and upper limb, except wrist and hand",No,,
T221,"Burn of first degree of shoulder and upper limb, except wrist and hand",No,,
T222,"Burn of second degree of shoulder and upper limb, except wrist and hand",No,,
T223,"Burn of third degree of shoulder and upper limb, except wrist and hand",No,,
T224,"Corrosion of unspecified degree of shoulder and upper limb, except wrist and hand",No,,
T225,"Corrosion of first degree of shoulder and upper limb, except wrist and hand",No,,
T226,"Corrosion of second degree of shoulder and upper limb, except wrist and hand",No,,
T227,"Corrosion of third degree of shoulder and upper limb, except wrist and hand",No,,
T230,Burn of unspecified degree of wrist and hand,No,,
T231,Burn of first degree of wrist and hand,No,,
T232,Burn of second degree of wrist and hand,No,,
T233,Burn of third degree of wrist and hand,No,,
T234,Corrosion of unspecified degree of wrist and hand,No,,
T235,Corrosion of first degree of wrist and hand,No,,
T236,Corrosion of second degree of wrist and hand,No,,
T237,Corrosion of third degree of wrist and hand,No,,
T240,"Burn of unspecified degree of hip and lower limb, except ankle and foot",No,,
T241,"Burn of first degree of hip and lower limb, except ankle and foot",No,,
T242,"Burn of second degree of hip and lower limb, except ankle and foot",No,,
T243,"Burn of third degree of hip and lower limb, except ankle and foot",No,,
T244,"Corrosion of unspecified degree of hip and lower limb, except ankle and foot",No,,
T245,"Corrosion of first degree of hip and lower limb, except ankle and foot",No,,
T246,"Corrosion of second degree of hip and lower limb, except ankle and foot",No,,
T247,"Corrosion of third degree of hip and lower limb, except ankle and foot",No,,
T250,Burn of unspecified degree of ankle and foot,No,,
T251,Burn of first degree of ankle and foot,No,,
T252,Burn of second degree of ankle and foot,No,,
T253,Burn of third degree of ankle and foot,No,,
T254,Corrosion of unspecified degree of ankle and foot,No,,
T255,Corrosion of first degree of ankle and foot,No,,
T256,Corrosion of second degree of ankle and foot,No,,
T257,Corrosion of third degree of ankle and foot,No,,
T260,Burn of eyelid and periocular area,No,,
T261,Burn of cornea and conjunctival sac,No,,
T262,Burn with resulting rupture and destruction of eyeball,No,,
T263,Burn of other parts of eye and adnexa,No,,
T264,"Burn of eye and adnexa, part unspecified",No,,
T265,Corrosion of eyelid and periocular area,No,,
T266,Corrosion of cornea and conjunctival sac,No,,
T267,Corrosion with resulting rupture and destruction of eyeball,No,,
T268,Corrosion of other parts of eye and adnexa,No,,
T269,"Corrosion of eye and adnexa, part unspecified",No,,
T270,Burn of larynx and trachea,Yes,2,
T271,Burn involving larynx and trachea with lung,Yes,2,
T272,Burn of other parts of respiratory tract,Yes,2,
T273,"Burn of respiratory tract, part unspecified",Yes,2,
T274,Corrosion of larynx and trachea,Yes,2,
T275,Corrosion involving larynx and trachea with lung,Yes,2,
T276,Corrosion of other parts of respiratory tract,Yes,2,
T277,"Corrosion of respiratory tract, part unspecified",Yes,2,
T280,Burn of mouth and pharynx,Yes,2,
T281,Burn of oesophagus,Yes,1,
T282,Burn of other parts of alimentary tract,No,,
T283,Burn of internal genitourinary organs,No,,
T284,Burn of other and unspecified internal organs,No,,
T285,Corrosion of mouth and pharynx,Yes,2,
T286,Corrosion of oesophagus,Yes,1,
T287,Corrosion of other parts of alimentary tract,No,,
T288,Corrosion of internal genitourinary organs,No,,
T289,Corrosion of other and unspecified internal organs,No,,
T290,"Burns of multiple regions, unspecified degree",Yes,1,
T291,"Burns of multiple regions, no more than first-degree burns mentioned",Yes,1,
T292,"Burns of multiple regions, no more than second-degree burns mentioned",Yes,2,
T293,"Burns of multiple regions, at least one burn of third degree mentioned",Yes,2,
T294,"Corrosions of multiple regions, unspecified degree",Yes,1,
T295,"Corrosions of multiple regions, no more than first-degree corrosions mentioned",Yes,1,
T296,"Corrosions of multiple regions, no more than second-degree corrosions mentioned",Yes,2,
T297,"Corrosions of multiple regions, at least one corrosion of third degree mentioned",Yes,2,
T300,"Burn of unspecified body region, unspecified degree",Yes,1,
T301,"Burn of first degree, body region unspecified",Yes,1,
T302,"Burn of second degree, body region unspecified",Yes,2,
T303,"Burn of third degree, body region unspecified",Yes,2,
T304,"Corrosion of unspecified body region, unspecified degree",Yes,1,
T305,"Corrosion of first degree, body region unspecified",Yes,1,
T306,"Corrosion of second degree, body region unspecified",Yes,2,
T307,"Corrosion of third degree, body region unspecified",Yes,2,
T310,Burns involving less than 10% of body surface,Yes,1,
T311,Burns involving 10-19% of body surface,Yes,1,
T312,Burns involving 20-29% of body surface,Yes,1,
T313,Burns involving 30-39% of body surface,Yes,1,
T314,Burns involving 40-49% of body surface,Yes,1,
T315,Burns involving 50-59% of body surface,Yes,1,
T316,Burns involving 60-69% of body surface,Yes,1,
T317,Burns involving 70-79% of body surface,Yes,1,
T318,Burns involving 80-89% of body surface,Yes,1,
T319,Burns involving 90% or more of body surface,Yes,1,
T320,Corrosions involving less than 10% of body surface,Yes,1,
T321,Corrosions involving 10-19% of body surface,Yes,1,
T322,Corrosions involving 20-29% of body surface,Yes,1,
T323,Corrosions involving 30-39% of body surface,Yes,1,
T324,Corrosions involving 40-49% of body surface,Yes,1,
T325,Corrosions involving 50-59% of body surface,Yes,1,
T326,Corrosions involving 60-69% of body surface,Yes,1,
T327,Corrosions involving 70-79% of body surface,Yes,1,
T328,Corrosions involving 80-89% of body surface,Yes,1,
T329,Corrosions involving 90% or more of body surface,Yes,1,
T330,Superficial frostbite of head,No,,
T331,Superficial frostbite of neck,Yes,1,
T332,Superficial frostbite of thorax,No,,
T333,"Superficial frostbite of abdominal wall, lower back and pelvis",No,,
T334,Superficial frostbite of arm,No,,
T335,Superficial frostbite of wrist and hand,No,,
T336,Superficial frostbite of hip and thigh,No,,
T337,Superficial frostbite of knee and lower leg,No,,
T338,Superficial frostbite of ankle and foot,No,,
T339,Superficial frostbite of other and unspecified sites,No,,
T340,Frostbite with tissue necrosis of head,No,,
T341,Frostbite with tissue necrosis of neck,Yes,1,
T342,Frostbite with tissue necrosis of thorax,No,,
T343,"Frostbite with tissue necrosis of abdominal wall, lower back and pelvis",No,,
T344,Frostbite with tissue necrosis of arm,No,,
T345,Frostbite with tissue necrosis of wrist and hand,No,,
T346,Frostbite with tissue necrosis of hip and thigh,No,,
T347,Frostbite with tissue necrosis of knee and lower leg,No,,
T348,Frostbite with tissue necrosis of ankle and foot,No,,
T349,Frostbite with tissue necrosis of other and unspecified sites,No,,
T350,Superficial frostbite involving multiple body regions,No,,
T351,Frostbite with tissue necrosis involving multiple body regions,No,,
T352,Unspecified frostbite of head and neck,Yes,1,
T353,"Unspecified frostbite of thorax, abdomen, lower back and pelvis",No,,
T354,Unspecified frostbite of upper limb,No,,
T355,Unspecified frostbite of lower limb,No,,
T356,Unspecified frostbite involving multiple body regions,No,,
T357,Unspecified frostbite of unspecified site,No,,
T360,Poisoning: Penicillins,Yes,1,
T361,Poisoning: Cefalosporins and other beta-lactam antibiotics,Yes,1,
T362,Poisoning: Chloramphenicol group,Yes,1,
T363,Poisoning: Macrolides,Yes,1,
T364,Poisoning: Tetracyclines,Yes,1,
T365,Poisoning: Aminoglycosides,Yes,1,
T366,Poisoning: Rifamycins,Yes,1,
T367,"Poisoning: Antifungal antibiotics, systemically used",Yes,1,
T368,Poisoning: Other systemic antibiotics,Yes,1,
T369,"Poisoning: Systemic antibiotic, unspecified",Yes,1,
T370,Poisoning: Sulfonamides,Yes,1,
T371,Poisoning: Antimycobacterial drugs,Yes,1,
T372,Poisoning: Antimalarials and drugs acting on other blood protozoa,Yes,1,
T373,Poisoning: Other antiprotozoal drugs,Yes,1,
T374,Poisoning: Anthelminthics,Yes,1,
T375,Poisoning: Antiviral drugs,Yes,1,
T378,Poisoning: Other specified systemic anti-infectives and antiparasitics,Yes,1,
T379,"Poisoning: Systemic anti-infective and antiparasitic, unspecified",Yes,1,
T380,Poisoning: Glucocorticoids and synthetic analogues,Yes,1,
T381,Poisoning: Thyroid hormones and substitutes,Yes,1,
T382,Poisoning: Antithyroid drugs,Yes,1,
T383,Poisoning: Insulin and oral hypoglycaemic [antidiabetic] drugs,Yes,1,
T384,Poisoning: Oral contraceptives,Yes,1,
T385,Poisoning: Other estrogens and progestogens,Yes,1,
T386,"Poisoning: Antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified",Yes,1,
T387,Poisoning: Androgens and anabolic congeners,Yes,1,
T388,Poisoning: Other and unspecified hormones and their synthetic substitutes,Yes,1,
T389,Poisoning: Other and unspecified hormone antagonists,Yes,1,
T390,Poisoning: Salicylates,Yes,2,
T391,Poisoning: 4-Aminophenol derivatives,Yes,2,
T392,Poisoning: Pyrazolone derivatives,Yes,1,
T393,Poisoning: Other nonsteroidal anti-inflammatory drugs [NSAID],Yes,1,
T394,"Poisoning: Antirheumatics, not elsewhere classified",Yes,1,
T398,"Poisoning: Other nonopioid analgesics and antipyretics, not elsewhere classified",Yes,1,
T399,"Poisoning: Nonopioid analgesic, antipyretic and antirheumatic, unspecified",Yes,1,
T400,Poisoning: Opium,Yes,1,
T401,Poisoning: Heroin,Yes,1,
T402,Poisoning: Other opioids,Yes,1,
T403,Poisoning: Methadone,Yes,1,
T404,Poisoning: Other synthetic narcotics,Yes,1,
T405,Poisoning: Cocaine,Yes,2,
T406,Poisoning: Other and unspecified narcotics,Yes,1,
T407,Poisoning: Cannabis (derivatives),Yes,1,
T408,Poisoning: Lysergide [LSD],Yes,1,
T409,Poisoning: Other and unspecified psychodysleptics [hallucinogens],Yes,1,
T410,Poisoning: Inhaled anaesthetics,Yes,1,
T411,Poisoning: Intravenous anaesthetics,Yes,1,
T412,Poisoning: Other and unspecified general anaesthetics,Yes,1,
T413,Poisoning: Local anaesthetics,Yes,2,
T414,"Poisoning: Anaesthetic, unspecified",Yes,1,
T415,Poisoning: Therapeutic gases,Yes,2,
T420,Poisoning: Hydantoin derivatives,Yes,1,
T421,Poisoning: Iminostilbenes,Yes,1,
T422,Poisoning: Succinimides and oxazolidinediones,Yes,1,
T423,Poisoning: Barbiturates,Yes,1,
T424,Poisoning: Benzodiazepines,Yes,1,
T425,"Poisoning: Mixed antiepileptics, not elsewhere classified",Yes,1,
T426,Poisoning: Other antiepileptic and sedative-hypnotic drugs,Yes,1,
T427,"Poisoning: Antiepileptic and sedative-hypnotic drugs, unspecified",Yes,1,
T428,Poisoning: Antiparkinsonism drugs and other central muscle-tone depressants,Yes,1,
T430,Poisoning: Tricyclic and tetracyclic antidepressants,Yes,2,
T431,Poisoning: Monoamine-oxidase-inhibitor antidepressants,Yes,1,
T432,Poisoning: Other and unspecified antidepressants,Yes,1,
T433,Poisoning: Phenothiazine antipsychotics and neuroleptics,Yes,1,
T434,Poisoning: Butyrophenone and thioxanthene neuroleptics,Yes,1,
T435,Poisoning: Other and unspecified antipsychotics and neuroleptics,Yes,1,
T436,Poisoning: Psychostimulants with abuse potential,Yes,1,
T438,"Poisoning: Other psychotropic drugs, not elsewhere classified",Yes,1,
T439,"Poisoning: Psychotropic drug, unspecified",Yes,1,
T440,Poisoning: Anticholinesterase agents,Yes,1,
T441,Poisoning: Other parasympathomimetics [cholinergics],Yes,1,
T442,"Poisoning: Ganglionic blocking drugs, not elsewhere classified",Yes,1,
T443,"Poisoning: Other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, not elsewhere classified",Yes,1,
T444,"Poisoning: Predominantly alpha-adrenoreceptor agonists, not elsewhere classified",Yes,1,
T445,"Poisoning: Predominantly beta-adrenoreceptor agonists, not elsewhere classified",Yes,1,
T446,"Poisoning: Alpha-adrenoreceptor antagonists, not elsewhere classified",Yes,1,
T447,"Poisoning: Beta-adrenoreceptor antagonists, not elsewhere classified",Yes,1,
T448,"Poisoning: Centrally acting and adrenergic-neuron-blocking agents, not elsewhere classified",Yes,1,
T449,Poisoning: Other and unspecified drugs primarily affecting the autonomic nervous system,Yes,1,
T450,Poisoning: Antiallergic and antiemetic drugs,Yes,1,
T451,Poisoning: Antineoplastic and immunosuppressive drugs,Yes,1,
T452,"Poisoning: Vitamins, not elsewhere classified",Yes,1,
T453,"Poisoning: Enzymes, not elsewhere classified",Yes,1,
T454,Poisoning: Iron and its compounds,Yes,1,
T455,Poisoning: Anticoagulants,Yes,1,
T456,Poisoning: Fibrinolysis-affecting drugs,Yes,1,
T457,"Poisoning: Anticoagulant antagonists, vitamin K and other coagulants",Yes,1,
T458,Poisoning: Other primarily systemic and haematological agents,Yes,1,
T459,"Poisoning: Primarily systemic and haematological agent, unspecified",Yes,1,
T460,Poisoning: Cardiac-stimulant glycosides and drugs of similar action,Yes,1,
T461,Poisoning: Calcium-channel blockers,Yes,1,
T462,"Poisoning: Other antidysrhythmic drugs, not elsewhere classified",Yes,1,
T463,"Poisoning: Coronary vasodilators, not elsewhere classified",Yes,1,
T464,Poisoning: Angiotensin-converting-enzyme inhibitors,Yes,1,
T465,"Poisoning: Other antihypertensive drugs, not elsewhere classified",Yes,1,
T466,Poisoning: Antihyperlipidaemic and antiarteriosclerotic drugs,Yes,1,
T467,Poisoning: Peripheral vasodilators,Yes,1,
T468,"Poisoning: Antivaricose drugs, including sclerosing agents",Yes,1,
T469,Poisoning: Other and unspecified agents primarily affecting the cardiovascular system,Yes,1,
T470,Poisoning: Histamine H2-receptor antagonists,Yes,1,
T471,Poisoning: Other antacids and anti-gastric-secretion drugs,Yes,1,
T472,Poisoning: Stimulant laxatives,Yes,1,
T473,Poisoning: Saline and osmotic laxatives,Yes,1,
T474,Poisoning: Other laxatives,Yes,1,
T475,Poisoning: Digestants,Yes,1,
T476,Poisoning: Antidiarrhoeal drugs,Yes,1,
T477,Poisoning: Emetics,Yes,1,
T478,Poisoning: Other agents primarily affecting the gastrointestinal system,Yes,1,
T479,"Poisoning: Agent primarily affecting the gastrointestinal system, unspecified",Yes,1,
T480,Poisoning: Oxytocic drugs,Yes,1,
T481,Poisoning: Skeletal muscle relaxants [neuromuscular blocking agents],Yes,1,
T482,Poisoning: Other and unspecified agents primarily acting on muscles,Yes,1,
T483,Poisoning: Antitussives,Yes,1,
T484,Poisoning: Expectorants,Yes,1,
T485,Poisoning: Anti-common-cold drugs,Yes,1,
T486,"Poisoning: Antiasthmatics, not elsewhere classified",Yes,1,
T487,Poisoning: Other and unspecified agents primarily acting on the respiratory system,Yes,1,
T490,"Poisoning: Local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified",Yes,1,
T491,Poisoning: Antipruritics,Yes,1,
T492,Poisoning: Local astringents and local detergents,Yes,1,
T493,"Poisoning: Emollients, demulcents and protectants",Yes,1,
T494,"Poisoning: Keratolytics, keratoplastics and other hair treatment drugs and preparations",Yes,1,
T495,Poisoning: Ophthalmological drugs and preparations,Yes,1,
T496,Poisoning: Otorhinolaryngological drugs and preparations,Yes,1,
T497,"Poisoning: Dental drugs, topically applied",Yes,1,
T498,Poisoning: Other topical agents,Yes,1,
T499,"Poisoning: Topical agent, unspecified",Yes,1,
T500,Poisoning: Mineralocorticoids and their antagonists,Yes,1,
T501,Poisoning: Loop [high-ceiling] diuretics,Yes,1,
T502,"Poisoning: Carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics",Yes,1,
T503,"Poisoning: Electrolytic, caloric and water-balance agents",Yes,1,
T504,Poisoning: Drugs affecting uric acid metabolism,Yes,1,
T505,Poisoning: Appetite depressants,Yes,1,
T506,"Poisoning: Antidotes and chelating agents, not elsewhere classified",Yes,1,
T507,Poisoning: Analeptics and opioid receptor antagonists,Yes,1,
T508,Poisoning: Diagnostic agents,Yes,1,
T509,"Poisoning: Other and unspecified drugs, medicaments and biological substances",Yes,1,
T510,Toxic effect: Ethanol,Yes,1,
T511,Toxic effect: Methanol,Yes,1,
T512,Toxic effect: 2-Propanol,Yes,1,
T513,Toxic effect: Fusel oil,Yes,1,
T518,Toxic effect: Other alcohols,Yes,1,
T519,"Toxic effect: Alcohol, unspecified",Yes,1,
T520,Toxic effect: Petroleum products,Yes,1,
T521,Toxic effect: Benzene,Yes,1,
T522,Toxic effect: Homologues of benzene,Yes,1,
T523,Toxic effect: Glycols,Yes,1,
T524,Toxic effect: Ketones,Yes,1,
T528,Toxic effect: Other organic solvents,Yes,1,
T529,"Toxic effect: Organic solvent, unspecified",Yes,1,
T530,Toxic effect: Carbon tetrachloride,Yes,1,
T531,Toxic effect: Chloroform,Yes,1,
T532,Toxic effect: Trichloroethylene,Yes,1,
T533,Toxic effect: Tetrachloroethylene,Yes,1,
T534,Toxic effect: Dichloromethane,Yes,1,
T535,Toxic effect: Chlorofluorocarbons,Yes,1,
T536,Toxic effect: Other halogen derivatives of aliphatic hydrocarbons,Yes,1,
T537,Toxic effect: Other halogen derivatives of aromatic hydrocarbons,Yes,1,
T539,"Toxic effect: Halogen derivative of aliphatic and aromatic hydrocarbons, unspecified",Yes,1,
T540,Toxic effect: Phenol and phenol homologues,Yes,1,
T541,Toxic effect: Other corrosive organic compounds,Yes,1,
T542,Toxic effect: Corrosive acids and acid-like substances,Yes,1,
T543,Toxic effect: Corrosive alkalis and alkali-like substances,Yes,1,
T549,"Toxic effect: Corrosive substance, unspecified",Yes,1,
T55X,Toxic effect of soaps and detergents,Yes,1,
T560,Toxic effect: Lead and its compounds,Yes,1,
T561,Toxic effect: Mercury and its compounds,Yes,1,
T562,Toxic effect: Chromium and its compounds,Yes,1,
T563,Toxic effect: Cadmium and its compounds,Yes,1,
T564,Toxic effect: Copper and its compounds,Yes,1,
T565,Toxic effect: Zinc and its compounds,Yes,1,
T566,Toxic effect: Tin and its compounds,Yes,1,
T567,Toxic effect: Beryllium and its compounds,Yes,1,
T568,Toxic effect: Other metals,Yes,1,
T569,"Toxic effect: Metal, unspecified",Yes,1,
T570,Toxic effect: Arsenic and its compounds,Yes,1,
T571,Toxic effect: Phosphorus and its compounds,Yes,1,
T572,Toxic effect: Manganese and its compounds,Yes,1,
T573,Toxic effect: Hydrogen cyanide,Yes,1,
T578,Toxic effect: Other specified inorganic substances,Yes,1,
T579,"Toxic effect: Inorganic substance, unspecified",Yes,1,
T58X,Toxic effect of carbon monoxide,Yes,1,
T590,Toxic effect: Nitrogen oxides,Yes,1,
T591,Toxic effect: Sulfur dioxide,Yes,1,
T592,Toxic effect: Formaldehyde,Yes,1,
T593,Toxic effect: Lacrimogenic gas,Yes,1,
T594,Toxic effect: Chlorine gas,Yes,1,
T595,Toxic effect: Fluorine gas and hydrogen fluoride,Yes,1,
T596,Toxic effect: Hydrogen sulfide,Yes,1,
T597,Toxic effect: Carbon dioxide,Yes,1,
T598,"Toxic effect: Other specified gases, fumes and vapours",Yes,1,
T599,"Toxic effect: Gases, fumes and vapours, unspecified",Yes,1,
T600,Toxic effect: Organophosphate and carbamate insecticides,Yes,1,
T601,Toxic effect: Halogenated insecticides,Yes,1,
T602,Toxic effect: Other insecticides,Yes,1,
T603,Toxic effect: Herbicides and fungicides,Yes,1,
T604,Toxic effect: Rodenticides,Yes,1,
T608,Toxic effect: Other pesticides,Yes,1,
T609,"Toxic effect: Pesticide, unspecified",Yes,1,
T610,Toxic effect: Ciguatera fish poisoning,Yes,1,
T611,Toxic effect: Scombroid fish poisoning,Yes,1,
T612,Toxic effect: Other fish and shellfish poisoning,Yes,1,
T618,Toxic effect: Toxic effect of other seafoods,Yes,1,
T619,Toxic effect: Toxic effect of unspecified seafood,Yes,1,
T620,Toxic effect: Ingested mushrooms,Yes,1,
T621,Toxic effect: Ingested berries,Yes,1,
T622,Toxic effect: Other ingested (parts of) plant(s),Yes,1,
T628,Toxic effect: Other specified noxious substances eaten as food,Yes,1,
T629,"Toxic effect: Noxious substance eaten as food, unspecified",Yes,1,
T630,Toxic effect: Snake venom,Yes,1,
T631,Toxic effect: Venom of other reptiles,Yes,1,
T632,Toxic effect: Venom of scorpion,Yes,1,
T633,Toxic effect: Venom of spider,Yes,1,
T634,Toxic effect: Venom of other arthropods,Yes,1,
T635,Toxic effect: Toxic effect of contact with fish,Yes,1,
T636,Toxic effect: Toxic effect of contact with other marine animals,Yes,1,
T638,Toxic effect: Toxic effect of contact with other venomous animals,Yes,1,
T639,Toxic effect: Toxic effect of contact with unspecified venomous animal,Yes,1,
T64X,Toxic effect of aflatoxin and other mycotoxin food contaminants,Yes,1,
T650,Toxic effect: Cyanides,Yes,1,
T651,Toxic effect: Strychnine and its salts,Yes,1,
T652,Toxic effect: Tobacco and nicotine,Yes,1,
T653,Toxic effect: Nitroderivatives and aminoderivatives of benzene and its homologues,Yes,1,
T654,Toxic effect: Carbon disulfide,Yes,1,
T655,Toxic effect: Nitroglycerin and other nitric acids and esters,Yes,1,
T656,"Toxic effect: Paints and dyes, not elsewhere classified",Yes,1,
T658,Toxic effect: Toxic effect of other specified substances,Yes,1,
T659,Toxic effect: Toxic effect of unspecified substance,Yes,1,
T66X,Unspecified effects of radiation,Yes,1,
T670,Heatstroke and sunstroke,Yes,1,
T671,Heat syncope,Yes,1,
T672,Heat cramp,Yes,1,
T673,"Heat exhaustion, anhydrotic",Yes,1,
T674,Heat exhaustion due to salt depletion,Yes,1,
T675,"Heat exhaustion, unspecified",Yes,1,
T676,"Heat fatigue, transient",No,,
T677,Heat oedema,No,,
T678,Other effects of heat and light,No,,
T679,"Effect of heat and light, unspecified",No,,
T68X,Hypothermia,Yes,1,
T690,Immersion hand and foot,No,,
T691,Chilblains,No,,
T698,Other specified effects of reduced temperature,No,,
T699,"Effect of reduced temperature, unspecified",No,,
T700,Otitic barotrauma,No,,
T701,Sinus barotrauma,No,,
T702,Other and unspecified effects of high altitude,No,,
T703,Caisson disease [decompression sickness],Yes,1,
T704,Effects of high-pressure fluids,Yes,1,
T708,Other effects of air pressure and water pressure,Yes,1,
T709,"Effect of air pressure and water pressure, unspecified",Yes,1,
T71X,Asphyxiation,Yes,1,
T730,Effects of hunger,No,,
T731,Effects of thirst,No,,
T732,Exhaustion due to exposure,No,,
T733,Exhaustion due to excessive exertion,No,,
T738,Other effects of deprivation,No,,
T739,"Effect of deprivation, unspecified",No,,
T740,Neglect or abandonment,No,,
T741,Physical abuse,No,,
T742,Sexual abuse,No,,
T743,Psychological abuse,No,,
T748,Other maltreatment syndromes,No,,
T749,"Maltreatment syndrome, unspecified",No,,
T750,Effects of lightning,Yes,1,
T751,Drowning and nonfatal submersion,Yes,1,
T752,Effects of vibration,No,,
T753,Motion sickness,No,,
T754,Effects of electric current,Yes,1,
T758,Other specified effects of external causes,No,,
T780,Anaphylactic shock due to adverse food reaction,No,,
T781,"Other adverse food reactions, not elsewhere classified",No,,
T782,"Anaphylactic shock, unspecified",Yes,1,
T783,Angioneurotic oedema,Yes,2,
T784,"Allergy, unspecified",No,,
T788,"Other adverse effects, not elsewhere classified",No,,
T789,"Adverse effect, unspecified",No,,
T790,Air embolism (traumatic),Yes,2,
T791,Fat embolism (traumatic),Yes,2,
T792,Traumatic secondary and recurrent haemorrhage,Yes,1,
T793,"Post-traumatic wound infection, not elsewhere classified",No,,
T794,Traumatic shock,Yes,1,
T795,Traumatic anuria,No,,
T796,Traumatic ischaemia of muscle,No,,
T797,Traumatic subcutaneous emphysema,Yes,2,
T798,Other early complications of trauma,Yes,2,
T799,Unspecified early complication of trauma,Yes,1,
T800,"Air embolism following infusion, transfusion and therapeutic injection",Yes,2,
T801,"Vascular complications following infusion, transfusion and therapeutic injection",No,,
T802,"Infections following infusion, transfusion and therapeutic injection",No,,
T803,ABO incompatibility reaction,Yes,2,
T804,Rh incompatibility reaction,Yes,2,
T805,Anaphylactic shock due to serum,Yes,2,
T806,Other serum reactions,Yes,2,
T808,"Other complications following infusion, transfusion and therapeutic injection",Yes,2,
T809,"Unspecified complication following infusion, transfusion and therapeutic injection",Yes,2,
T810,"Haemorrhage and haematoma complicating a procedure, not elsewhere classified",Yes,2,
T811,"Shock during or resulting from a procedure, not elsewhere classified",Yes,2,
T812,"Accidental puncture and laceration during a procedure, not elsewhere classified",No,,
T813,"Disruption of operation wound, not elsewhere classified",No,,
T814,"Infection following a procedure, not elsewhere classified",No,,
